,usmv,sphb,^VIX,hold_usmv
2013-02-26,25.29405403137207,20.016864776611328,16.8700008392334,1
2013-02-27,25.571392059326172,20.33209800720215,14.729999542236328,1
2013-02-28,25.55507469177246,20.29706382751465,15.510000228881836,1
2013-03-01,25.620328903198242,20.227014541625977,15.359999656677246,1
2013-03-04,25.791622161865234,20.26204490661621,14.010000228881836,1
2013-03-05,25.96291160583496,20.55976104736328,13.479999542236328,1
2013-03-06,25.930288314819336,20.72612190246582,13.529999732971191,1
2013-03-07,25.91396713256836,20.936277389526367,13.0600004196167,1
2013-03-08,25.971071243286133,21.128917694091797,12.59000015258789,1
2013-03-11,26.003684997558594,21.260263442993164,11.5600004196167,1
2013-03-12,26.003684997558594,21.207721710205078,12.270000457763672,1
2013-03-13,26.06894874572754,21.260263442993164,11.829999923706055,1
2013-03-14,26.158672332763672,21.417871475219727,11.300000190734863,1
2013-03-15,26.077106475830078,21.409982681274414,11.300000190734863,1
2013-03-18,25.98737907409668,21.16449546813965,13.359999656677246,1
2013-03-19,26.03632164001465,20.936538696289062,14.390000343322754,1
2013-03-20,26.240234375,21.146957397460938,12.670000076293945,1
2013-03-21,26.174991607666016,20.840099334716797,13.989999771118164,1
2013-03-22,26.40337562561035,20.883939743041992,13.569999694824219,1
2013-03-25,26.3149471282959,20.778738021850586,13.739999771118164,1
2013-03-26,26.59332847595215,20.9453125,12.770000457763672,1
2013-03-27,26.6424560546875,20.927783966064453,13.149999618530273,1
2013-03-28,26.822574615478516,20.971609115600586,12.699999809265137,1
2013-04-01,26.773454666137695,20.655986785888672,13.579999923706055,1
2013-04-02,26.92082977294922,20.506938934326172,12.779999732971191,1
2013-04-03,26.72432518005371,20.121177673339844,14.210000038146973,1
2013-04-04,26.8635196685791,20.19131088256836,13.890000343322754,1
2013-04-05,26.7570858001709,20.173784255981445,13.920000076293945,1
2013-04-08,26.871702194213867,20.428035736083984,13.1899995803833,1
2013-04-09,26.945396423339844,20.69105339050293,12.84000015258789,1
2013-04-10,27.207395553588867,20.936538696289062,12.359999656677246,1
2013-04-11,27.330217361450195,20.98038101196289,12.239999771118164,1
2013-04-12,27.338403701782227,20.726123809814453,12.0600004196167,1
2013-04-15,26.847143173217773,19.858154296875,17.270000457763672,1
2013-04-16,27.191022872924805,20.287757873535156,13.960000038146973,1
2013-04-17,26.953575134277344,19.761707305908203,16.510000228881836,1
